WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\test_js_interop.dart|4|10|5|The value of the local variable 'value' isn't used.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\admin\\admin_quizzes_tab.dart|811|31|10|'groupValue' is deprecated and shouldn't be used. Use a RadioGroup ancestor to manage group value instead. This feature was deprecated after v3.32.0-0.0.pre.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\admin\\admin_quizzes_tab.dart|818|31|9|'onChanged' is deprecated and shouldn't be used. Use RadioGroup to handle value change instead. This feature was deprecated after v3.32.0-0.0.pre.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\browse_educators_tab.dart|100|39|2|Unnecessary use of multiple underscores.
INFO|LINT|UNNECESSARY_UNDERSCORES|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\educator_profile_page.dart|284|37|2|Unnecessary use of multiple underscores.
INFO|LINT|AVOID_PRINT|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\profile_page.dart|132|7|5|Don't invoke 'print' in production code.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\quiz_detail_page.dart|488|29|10|'groupValue' is deprecated and shouldn't be used. Use a RadioGroup ancestor to manage group value instead. This feature was deprecated after v3.32.0-0.0.pre.
INFO|HINT|DEPRECATED_MEMBER_USE|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\quiz_detail_page.dart|490|29|9|'onChanged' is deprecated and shouldn't be used. Use RadioGroup to handle value change instead. This feature was deprecated after v3.32.0-0.0.pre.
INFO|LINT|USE_BUILD_CONTEXT_SYNCHRONOUSLY|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\pages\\spelling_bee_page.dart|141|28|7|Don't use 'BuildContext's across async gaps.
INFO|LINT|USE_NULL_AWARE_ELEMENTS|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\lib\\utils\\responsive_layout.dart|231|17|2|Use the null-aware marker '?' rather than a null check via an 'if'.
INFO|LINT|AVOID_PRINT|C:\\Users\\amiel\\OneDrive\\Documents\\grammatica\\grammatica\\test_js_interop.dart|5|3|5|Don't invoke 'print' in production code.
